"Area","Inhabitants, total, 2018 (HE)","0-2 years, 2018 (HE)","3-6 years, 2018 (HE)","7-12 years, 2018 (HE)","13-15 years, 2018 (HE)","16-17 years, 2018 (HE)","18-19 years, 2018 (HE)","20-24 years, 2018 (HE)","25-29 years, 2018 (HE)","30-34 years, 2018 (HE)","35-39 years, 2018 (HE)","40-44 years, 2018 (HE)","45-49 years, 2018 (HE)","50-54 years, 2018 (HE)","55-59 years, 2018 (HE)","60-64 years, 2018 (HE)","65-69 years, 2018 (HE)","70-74 years, 2018 (HE)","75-79 years, 2018 (HE)","80-84 years, 2018 (HE)","85 years or over, 2018 (HE)","Average floor area, 2018 (RA)"
"Kurikka",20952,520,853,1362,711,469,406,831,905,949,1101,1095,1147,1375,1520,1654,1861,1607,984,798,804,92.5
"Lappajärvi",3078,71,127,181,80,69,62,104,102,142,131,115,141,173,269,287,265,284,169,155,151,98.7
"Lapua",14427,431,738,1118,593,351,340,545,673,769,890,905,832,943,932,981,1005,883,566,444,488,96.9
"Seinäjoki",63288,2012,3064,4526,2174,1458,1644,4534,4643,4318,4121,3793,3303,3717,3873,3818,3746,3338,2152,1545,1509,82.1
"Soini",2085,54,105,129,67,54,43,75,77,98,90,70,91,165,170,168,177,156,94,115,87,89.8
"Teuva",5158,113,188,329,171,128,96,163,185,209,228,217,275,344,405,444,457,418,296,238,254,97.2
"Vimpeli",2901,50,111,191,119,73,69,99,107,110,159,147,144,207,231,261,252,212,122,110,127,99.8
"Ähtäri",5703,127,185,364,190,123,110,186,221,250,251,282,280,390,429,539,547,480,280,234,235,89.7
"Isokyrö",4601,102,205,351,176,117,87,163,194,181,243,241,270,338,322,378,340,305,229,170,189,96.3
"Kaskinen",1262,31,33,53,30,20,19,24,53,39,54,49,66,66,102,120,179,132,94,57,41,89.0
"Korsnäs",2122,52,86,139,57,40,45,115,113,110,109,124,110,147,138,144,164,161,100,71,97,107.8
"Kristinestad",6596,153,199,335,165,95,134,246,283,265,251,281,359,445,489,586,628,655,367,300,360,97.8
"Kronoby",6509,187,277,492,249,170,154,318,315,339,389,350,357,425,428,436,444,438,268,231,242,108.5
"Laihia",8058,244,455,716,299,199,145,234,354,451,569,593,477,487,498,561,528,517,282,225,224,96.4
"Larsmo",5340,312,435,623,290,174,160,340,352,301,283,301,263,265,253,218,227,223,120,95,105,109.3
"Malax",5477,144,215,373,142,112,101,238,290,292,308,343,316,330,359,389,401,387,290,214,233,100.0
"Korsholm",19444,681,1067,1639,769,433,389,655,892,1102,1456,1327,1267,1298,1128,1197,1164,1110,718,525,627,106.5
