"Area","Inhabitants, total, 2018 (HE)","0-2 years, 2018 (HE)","3-6 years, 2018 (HE)","7-12 years, 2018 (HE)","13-15 years, 2018 (HE)","16-17 years, 2018 (HE)","18-19 years, 2018 (HE)","20-24 years, 2018 (HE)","25-29 years, 2018 (HE)","30-34 years, 2018 (HE)","35-39 years, 2018 (HE)","40-44 years, 2018 (HE)","45-49 years, 2018 (HE)","50-54 years, 2018 (HE)","55-59 years, 2018 (HE)","60-64 years, 2018 (HE)","65-69 years, 2018 (HE)","70-74 years, 2018 (HE)","75-79 years, 2018 (HE)","80-84 years, 2018 (HE)","85 years or over, 2018 (HE)","Average floor area, 2018 (RA)"
"Raisio",24178,672,1046,1579,767,538,548,1127,1261,1468,1501,1497,1464,1812,1832,1697,1588,1470,896,763,652,85.1
"Rusko",6251,202,359,505,256,170,141,194,237,332,505,480,414,501,395,382,391,335,176,144,132,115.0
"Salo",52321,1065,1878,3572,1786,1243,1155,2040,2229,2546,2901,3334,3345,3946,3616,3874,4038,3814,2388,1802,1749,87.7
"Sauvo",2994,71,122,219,117,69,53,72,110,128,170,195,195,263,232,223,267,217,103,80,88,105.6
"Somero",8828,186,312,520,317,189,169,322,307,366,416,460,481,659,640,703,790,665,507,402,417,92.1
"Taivassalo",1662,35,66,99,45,26,10,39,58,83,94,80,79,117,143,155,141,160,71,74,87,100.9
"Turku",191331,5047,6852,9621,4465,3063,4246,19599,18884,14635,12628,11104,9599,11002,10645,10536,11002,11017,6784,5072,5530,66.5
"Uusikaupunki",15700,337,580,907,454,256,276,715,957,859,822,915,841,1054,1193,1202,1267,1253,761,565,486,84.0
"Vehmaa",2285,52,92,135,61,44,54,83,117,95,124,131,152,147,177,181,198,156,109,72,105,99.6
"Eura",11748,316,474,805,437,244,217,460,498,612,646,644,703,782,846,834,933,882,542,433,440,95.2
"Eurajoki",9454,263,433,751,335,199,191,328,372,484,640,636,563,650,616,611,766,677,412,277,250,103.9
"Harjavalta",7018,156,278,408,222,148,152,234,308,345,381,397,361,462,475,525,633,585,405,273,270,85.4
"Honkajoki",1666,37,75,91,41,31,29,47,75,79,85,86,67,118,162,172,144,126,78,65,58,91.8
"Huittinen",10091,248,379,628,312,211,207,391,479,520,561,512,544,708,742,777,807,761,511,417,376,91.6
"Jämijärvi",1809,32,85,106,59,37,45,71,68,74,82,95,95,122,138,153,185,130,85,67,80,98.2
"Kankaanpää",11471,297,464,692,345,248,267,530,593,601,593,570,593,787,932,958,951,793,498,425,334,89.3
"Karvia",2390,54,86,104,71,49,44,84,90,104,121,118,116,155,186,222,244,182,134,108,118,93.7
"Kokemäki",7226,169,224,417,224,147,118,287,317,333,321,402,419,526,579,581,599,600,360,313,290,94.3
"Merikarvia",3115,74,129,159,98,59,39,91,95,112,138,174,132,201,265,284,289,267,177,152,180,93.1
"Nakkila",5437,104,229,379,203,136,124,195,235,246,302,325,341,376,362,389,410,422,286,185,188,96.2
"Pomarkku",2146,51,88,143,70,58,49,53,63,89,111,108,119,133,166,189,177,166,114,103,96,95.1
"Pori",84403,2079,3231,5189,2547,1669,1840,5246,5100,4950,4932,4681,4611,5610,5577,5737,6122,5803,3818,2936,2725,78.6
"Rauma",39360,976,1521,2469,1174,747,835,2183,2251,2222,2357,2433,2198,2598,2691,2755,2951,2643,1700,1365,1291,83.8
"Siikainen",1458,24,50,72,47,32,26,43,31,46,56,60,90,125,105,138,156,115,86,91,65,89.5
"Säkylä",6811,149,229,399,207,138,132,255,275,307,328,337,388,528,528,574,564,578,341,274,280,97.8
"Ulvila",13021,342,600,963,469,331,254,460,559,657,812,802,768,871,879,908,1001,933,593,488,331,96.8
"Forssa",17028,348,514,949,487,333,394,804,855,839,944,924,851,1108,1188,1382,1408,1473,875,711,641,76.6
"Hattula",9475,269,427,746,363,223,230,312,392,508,613,627,594,670,690,710,646,620,374,246,215,100.9
"Hausjärvi",8417,198,429,709,337,201,160,236,246,412,579,600,575,666,704,627,556,512,271,196,203,96.8
"Humppila",2235,44,78,152,81,51,39,82,66,89,139,141,107,156,189,199,226,148,87,66,95,95.4
"Hämeenlinna",67532,1679,2668,4316,2145,1344,1496,3617,3868,3902,3907,4010,3790,4505,4620,4582,4904,4719,3021,2188,2251,78.3
"Janakkala",16447,428,693,1216,618,403,347,607,727,855,958,1042,1117,1212,1195,1128,1185,1046,720,519,431,89.2
"Jokioinen",5195,104,199,368,211,142,110,177,186,214,274,350,335,397,388,408,451,348,191,170,172,94.3
"Loppi",7861,185,323,633,355,197,159,198,240,331,463,535,491,635,607,563,599,540,342,269,196,98.8
"Riihimäki",28736,734,1178,2072,994,643,647,1604,1677,1646,1800,1853,1739,2015,1977,1984,1898,1719,1010,781,765,76.2
"Tammela",6081,141,207,443,227,154,127,219,216,251,303,329,433,424,544,487,486,416,243,212,219,100.3
"Ypäjä",2357,46,79,147,75,50,46,104,106,109,128,133,133,171,191,181,225,163,95,82,93,92.1
"Akaa",16611,379,764,1322,679,411,310,570,628,852,1129,1233,1101,1204,1062,1171,1191,1047,619,446,493,87.9
"Hämeenkyrö",10510,299,513,755,401,283,228,341,431,555,666,610,720,761,800,719,743,650,413,317,305,91.2
"Ikaalinen",7003,162,270,432,211,121,150,249,307,298,367,384,357,508,472,560,660,592,378,262,263,89.2
"Juupajoki",1884,36,85,118,76,40,24,53,64,90,99,109,92,123,138,158,189,133,102,79,76,91.9
"Kangasala",31676,1000,1641,2675,1304,776,658,1219,1450,1743,2150,2368,2206,2203,2093,1877,1907,1754,1163,809,680,92.3
"Kihniö",1910,27,81,105,56,42,26,54,62,84,102,83,84,136,173,207,170,146,106,75,91,92.5
"Lempäälä",23206,812,1476,2387,1014,620,541,812,1049,1409,1809,1831,1593,1480,1380,1194,1244,1085,668,399,403,96.2
"Mänttä-Vilppula",9983,160,298,526,276,233,195,326,365,379,456,556,543,665,734,915,979,893,550,475,459,80.4
"Nokia",33527,924,1731,2862,1316,760,730,1291,1514,1946,2447,2565,2264,2261,2116,2082,2114,1897,1097,835,775,83.9
"Orivesi",9221,215,369,614,305,191,178,294,355,424,529,496,502,658,682,757,709,732,486,362,363,88.7
"Parkano",6469,142,216,394,213,123,127,248,237,295,306,293,333,462,458,563,611,547,375,269,257,90.4
"Pirkkala",19368,646,1098,1682,824,450,456,749,952,1239,1439,1548,1301,1328,1196,1040,1023,1057,628,397,315,88.3
"Punkalaidun",2896,64,83,166,99,56,50,94,109,113,119,122,170,203,229,249,256,228,162,150,174,95.0
"Pälkäne",6499,145,231,437,238,154,122,181,226,282,319,377,371,498,533,512,542,477,340,272,242,95.8
"Ruovesi",4398,79,128,237,129,85,78,121,128,157,176,225,209,318,345,418,423,403,271,240,228,85.8
"Sastamala",24651,599,940,1617,821,543,559,934,1002,1202,1302,1366,1374,1708,1808,1866,2071,1786,1162,982,1009,90.4
"Tampere",235239,6549,9108,12653,5669,3905,5194,23108,23647,19602,16738,13796,11736,13210,13210,12607,12666,12301,7833,5868,5839,65.7
"Urjala",4792,105,167,276,136,92,96,133,146,228,227,290,281,315,384,395,414,406,259,216,226,90.1
"Valkeakoski",21137,510,900,1518,726,454,470,962,899,1120,1248,1407,1319,1350,1302,1363,1649,1597,922,699,722,83.5
"Vesilahti",4393,131,225,416,229,140,103,119,120,213,272,343,350,340,314,271,262,201,133,94,117,114.2
"Virrat",6739,124,204,371,202,135,124,210,221,275,259,324,363,459,523,566,637,640,382,350,370,88.0
"Ylöjärvi",32983,1147,1967,3035,1429,893,682,1127,1587,1958,2354,2441,2097,2297,2184,1986,1819,1670,1028,698,584,95.5
"Asikkala",8149,162,283,510,262,176,164,207,245,307,440,450,465,561,597,693,816,737,445,344,285,95.1
"Hartola",2780,40,70,110,69,44,56,76,72,92,80,108,148,234,257,282,297,285,177,136,147,84.2
"Hollola",23602,591,1105,1852,1034,604,487,684,879,1143,1417,1552,1544,1741,1642,1713,1739,1607,986,707,575,96.9
"Heinola",18889,336,534,948,571,357,347,755,684,730,823,945,1058,1378,1578,1649,1814,1705,1128,820,729,77.4
"Kärkölä",4451,93,159,292,143,95,82,173,180,175,238,277,275,365,385,342,373,354,192,135,123,93.0
"Lahti",119951,3133,4688,7392,3544,2437,2838,7538,8039,7407,7329,7095,6650,7808,7624,7756,8645,8125,5104,3639,3160,72.2
"Orimattila",16091,417,740,1177,635,360,297,563,692,773,928,1082,1028,1181,1188,1080,1217,1120,627,509,477,93.4
"Padasjoki",2963,46,67,145,84,51,44,101,68,96,108,123,136,194,252,292,317,298,208,160,173,89.2
"Sysmä",3753,53,91,138,99,65,57,102,99,114,102,136,184,296,308,386,392,395,275,245,216,82.7
"Hamina",20286,378,699,1195,623,435,396,747,841,943,1115,1214,1182,1486,1614,1554,1647,1604,1095,754,764,85.0
"Iitti",6765,161,272,400,218,124,132,217,250,319,332,362,337,489,541,593,605,510,359,259,285,90.4
"Kotka",52883,1186,1873,3074,1581,1086,1144,2909,2815,2852,3031,3084,3144,3604,3704,3885,3996,4034,2365,1718,1798,73.0
"Kouvola",83177,1812,2996,4794,2568,1690,1758,3704,4296,4330,4520,4624,4701,5877,6323,6473,6738,6091,3966,2964,2952,81.5
"Miehikkälä",1940,26,41,96,56,44,35,68,57,48,78,101,137,163,128,154,202,177,129,103,97,93.0
"Pyhtää",5187,123,239,379,174,105,88,131,157,235,351,366,316,404,400,393,378,401,224,157,166,102.7
"Virolahti",3150,47,92,182,119,47,41,84,95,119,175,182,190,230,275,297,282,263,170,121,139,96.2
"Imatra",26932,548,850,1462,787,516,518,1210,1268,1269,1407,1531,1565,1858,2147,2035,2229,2061,1466,1209,996,76.3
"Lappeenranta",72699,1722,2773,4409,2081,1487,1618,5384,4582,4347,4427,4263,4055,4752,4737,5116,5052,4421,3058,2165,2250,75.2
"Lemi",3043,84,151,240,103,69,60,82,126,126,179,186,184,223,234,229,233,190,142,99,103,98.1
"Luumäki",4662,87,131,273,136,97,80,127,138,194,184,228,264,344,393,428,462,387,257,228,224,91.4
"Parikkala",4842,90,136,206,101,75,63,114,150,166,174,194,244,353,448,470,533,493,331,258,243,87.1
"Rautjärvi",3335,45,77,149,75,45,60,91,84,100,127,150,186,229,329,353,371,309,202,175,178,83.6
"Ruokolahti",5099,81,145,320,162,84,67,121,146,186,215,296,305,395,418,457,481,425,280,247,268,93.1
"Savitaipale",3429,39,109,173,94,59,56,96,110,121,131,156,172,234,303,285,319,310,242,209,211,89.3
"Taipalsaari",4715,105,194,346,189,120,91,105,164,188,245,329,290,381,394,424,367,316,206,144,117,106.2
"Enonkoski",1405,22,48,71,40,20,18,37,50,54,71,63,65,94,108,112,156,139,83,83,71,92.6
"Heinävesi",3329,38,81,168,103,59,42,68,92,85,132,144,170,239,314,338,336,332,226,183,179,81.7
"Hirvensalmi",2152,43,57,99,44,36,47,60,49,83,69,88,121,151,207,235,232,192,128,100,111,87.8
"Joroinen",4812,114,162,298,168,94,71,120,188,215,239,245,296,337,415,446,436,396,238,181,153,92.8
"Juva",6225,122,185,323,180,131,104,200,201,254,273,279,300,432,537,580,611,519,393,313,288,89.5
"Kangasniemi",5452,88,172,298,151,84,88,162,181,208,223,235,246,421,461,457,564,524,344,282,263,88.2
"Mikkeli",53818,1294,1996,3245,1652,1092,1203,3420,3036,3051,2909,2966,2885,3533,3752,3976,4147,3670,2461,1826,1704,79.5
"Mäntyharju",5924,112,185,301,180,112,96,199,174,214,237,257,288,403,503,563,641,530,369,302,258,84.4
"Pertunmaa",1713,24,37,93,58,25,25,41,45,46,75,82,107,129,150,163,179,151,112,85,86,85.9
"Pieksämäki",17933,348,547,945,481,364,380,658,787,876,793,858,848,1288,1513,1741,1618,1393,980,797,718,80.1
"Puumala",2197,19,36,76,65,31,24,69,71,63,74,81,104,147,189,254,264,263,131,119,117,93.1
"Rantasalmi",3514,70,111,167,96,75,53,95,143,116,139,152,190,257,323,350,352,314,188,156,167,91.2
"Savonlinna",33611,646,1027,1821,985,713,740,1402,1388,1559,1562,1663,1805,2322,2637,2972,2989,2785,1806,1461,1328,78.1
"Sulkava",2530,30,54,88,73,46,41,84,91,80,76,91,129,171,239,252,271,250,174,148,142,90.4
"Iisalmi",21472,566,872,1406,674,453,500,1060,1047,1201,1249,1129,1056,1371,1600,1826,1734,1435,878,701,714,79.6
"Kaavi",2990,44,97,154,103,57,48,96,88,116,121,119,180,224,252,284,272,264,204,140,127,80.5
"Keitele",2244,52,63,102,64,37,45,61,77,80,109,95,102,143,179,270,245,201,111,108,100,87.6
"Kiuruvesi",8153,208,306,491,263,170,163,328,351,361,387,380,408,556,653,727,684,615,389,339,374,85.1
"Kuopio",118664,3197,4912,7099,3578,2430,2767,9361,9187,8068,7279,6616,6193,7512,7971,7765,7696,6662,4185,3145,3041,74.4
"Lapinlahti",9617,205,369,685,338,224,203,323,394,496,553,490,522,663,750,820,859,634,408,355,326,85.8
"Leppävirta",9650,198,323,596,290,215,178,278,340,400,501,505,534,725,850,848,820,735,497,442,375,89.7
"Pielavesi",4498,88,146,306,159,79,70,140,124,167,188,160,206,281,360,443,468,382,283,221,227,89.3
"Rautalampi",3196,57,99,193,109,71,74,80,101,116,163,136,166,242,246,252,334,287,181,152,137,88.2
"Rautavaara",1651,19,39,80,39,30,23,39,48,64,48,54,78,136,158,150,200,147,106,115,78,82.7
"Siilinjärvi",21674,697,1187,1874,871,612,482,787,962,1293,1500,1365,1323,1531,1496,1411,1360,1163,795,549,416,92.2
"Sonkajärvi",3967,83,114,233,107,85,53,129,133,164,173,183,189,287,360,415,367,334,194,191,173,87.3
